datetime,side,price,shares,pnl
2017-09-25 18:04,BUY,387.1,100,0.0
2017-09-25 18:20,SELL,388.5,100,140.0
2017-09-25 18:21,BUY,388.4,100,0.0
2017-09-25 18:22,SELL,388.4,100,0.0
2017-09-26 12:15,BUY,388.05,100,0.0
2017-09-26 12:21,SELL,388.6,100,55.0
2017-09-26 12:27,BUY,387.75,100,0.0
2017-09-26 12:32,SELL,388.55,100,80.0
2017-09-26 12:38,BUY,387.7,100,0.0
2017-09-26 12:40,SELL,387.3,100,-40.0
2017-09-26 12:43,BUY,387.7,100,0.0
2017-09-26 12:47,SELL,387.65,100,-5.0
2017-09-26 12:48,BUY,387.7,100,0.0
2017-09-26 13:03,SELL,388.6,100,90.0
2017-09-26 13:16,BUY,386.5,100,0.0
2017-09-26 13:20,SELL,386.2,100,-30.0
2017-09-26 13:22,BUY,386.55,100,0.0
2017-09-26 13:24,SELL,386.55,100,0.0
2017-09-26 13:30,BUY,386.4,100,0.0
2017-09-26 13:36,SELL,386.3,100,-10.0
2017-09-26 13:46,BUY,384.7,100,0.0
2017-09-26 13:47,SELL,384.0,100,-70.0
2017-09-26 13:50,BUY,384.6,100,0.0
2017-09-26 13:58,SELL,384.25,100,-35.0
2017-09-26 14:03,BUY,384.6,100,0.0
2017-09-26 14:16,SELL,386.2,100,160.0
2017-09-26 14:21,BUY,386.4,100,0.0
2017-09-26 14:25,SELL,386.2,100,-20.0
2017-09-26 14:37,BUY,385.5,100,0.0
2017-09-26 14:40,SELL,385.35,100,-15.0
2017-09-26 14:42,BUY,385.25,100,0.0
2017-09-26 14:43,SELL,385.3,100,5.0
2017-09-26 14:45,BUY,385.2,100,0.0
2017-09-26 14:50,SELL,385.7,100,50.0
2017-09-26 14:52,BUY,386.0,100,0.0
2017-09-26 14:56,SELL,385.9,100,-10.0
2017-09-26 14:57,BUY,386.2,100,0.0
2017-09-26 14:58,SELL,386.05,100,-15.0
2017-09-26 15:02,BUY,386.5,100,0.0
2017-09-26 15:09,SELL,387.1,100,60.0
2017-09-26 15:10,BUY,387.9,100,0.0
2017-09-26 15:14,SELL,387.5,100,-40.0
2017-09-26 15:22,BUY,387.05,100,0.0
2017-09-26 15:23,SELL,386.7,100,-35.0
2017-09-26 15:29,BUY,386.15,100,0.0
2017-09-26 15:30,SELL,386.3,100,15.0
2017-09-26 15:32,BUY,386.2,100,0.0
2017-09-26 15:33,SELL,386.05,100,-15.0
2017-09-26 15:37,BUY,386.2,100,0.0
2017-09-26 15:40,SELL,386.0,100,-20.0
2017-09-26 15:44,BUY,385.95,100,0.0
2017-09-26 15:45,SELL,385.95,100,0.0
2017-09-26 15:47,BUY,386.0,100,0.0
2017-09-26 15:49,SELL,385.95,100,-5.0
2017-09-26 15:51,BUY,386.0,100,0.0
2017-09-26 15:58,SELL,385.95,100,-5.0
2017-09-26 16:04,BUY,385.85,100,0.0
2017-09-26 16:06,SELL,385.6,100,-25.0
2017-09-26 16:09,BUY,385.7,100,0.0
2017-09-26 16:10,SELL,385.6,100,-10.0
2017-09-26 16:14,BUY,386.0,100,0.0
2017-09-26 16:17,SELL,385.85,100,-15.0
2017-09-26 16:18,BUY,385.8,100,0.0
2017-09-26 16:20,SELL,385.7,100,-10.0
2017-09-26 16:22,BUY,385.8,100,0.0
2017-09-26 16:24,SELL,385.7,100,-10.0
2017-09-26 16:28,BUY,385.9,100,0.0
2017-09-26 16:36,SELL,386.4,100,50.0
2017-09-26 16:41,BUY,386.3,100,0.0
2017-09-26 16:42,SELL,386.25,100,-5.0
2017-09-26 16:48,BUY,386.4,100,0.0
